name,url,url-href,price_min,price_max,screen_size_cm,chipset,series,cpu,operating_system,ssd,memory,resolution,cpu_speed,memory_type
"에이수스 G752VY-GC293T","에이수스 G752VY-GC293T","http://shopping.naver.com/detail/detail.nhn?nv_mid=9384895253&cat_id=50000151&frm=NVSHCHK&query=","2,354,420","2,912,260","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 16GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"기가바이트 P15F V5 7S11IFND","기가바이트 P15F V5 7S11IFND","http://shopping.naver.com/detail/detail.nhn?nv_mid=9379528634&cat_id=50000151&frm=NVSHCHK&query=","993,250","1,095,750","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR3L"
"HP 15-AF110AX","HP 15-AF110AX","http://shopping.naver.com/detail/detail.nhn?nv_mid=9669269576&cat_id=50000151&frm=NVSHCHK&query=","399,000","568,000","null","null","null","null","null","null","null","null","null","null"
"삼성전자 노트북9 metal NT900X3L-K58WS","삼성전자 노트북9 metal NT900X3L-K58WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=9535900657&cat_id=50000151&frm=NVSHCHK&query=","1,238,920","1,743,460","33.78","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"엘지전자 PC그램 15Z960-GR30K","엘지전자 PC그램 15Z960-GR30K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303881395&cat_id=50000151&frm=NVSHCHK&query=","1,085,900","1,598,000","39.62","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"애플 맥북에어 MD760KH/A","애플 맥북에어 MD760KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=6966822709&cat_id=50000151&frm=NVSHCHK&query=","838,000","5,862,190","13.3","인텔","코어 i5","CPU : i5-4250U","null","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1400x900","CPU속도 : 1.3GHz","메모리 타입 : LPDDR3"
"애플 맥북프로 MLUQ2KH/A","애플 맥북프로 MLUQ2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=10583313624&cat_id=50000151&frm=NVSHCHK&query=","1,659,400","1,990,000","33.78","인텔","코어 i5","null","운영체제 : MAC OS","SSD : 256GB","메모리 용량 : 8GB","해상도 : 2560x1600","CPU속도 : 2.0GHz","메모리 타입 : LPDDR3"
"엘지전자 울트라 PC 그램 13Z940-GT50K","엘지전자 울트라 PC 그램 13Z940-GT50K","http://shopping.naver.com/detail/detail.nhn?nv_mid=7608179947&cat_id=50000151&frm=NVSHCHK&query=","1,135,210","1,617,000","33.8","인텔","코어 i5","CPU : i5-4200U","운영체제 : 윈도우8.1","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"애플 맥북프로 MGX92KH/A","애플 맥북프로 MGX92KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=7884692184&cat_id=50000151&frm=NVSHCHK&query=","1,826,400","3,499,900","33.8","인텔","코어 i5","null","운영체제 : Mac OS X Mavericks","SSD : 512GB","메모리 용량 : 8GB","해상도 : 2560x1600","CPU속도 : 2.8GHz","메모리 타입 : DDR3L"
"삼성전자 노트북5 NT500R5H-K10","삼성전자 노트북5 NT500R5H-K10","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303668297&cat_id=50000151&frm=NVSHCHK&query=","598,900","1,850,600","15.6","인텔","셀러론","CPU : 3205U","운영체제 : 윈도우10","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.5GHz","메모리 타입 : LPDDR3"
