,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세
전국  (0000000000),"447,421","437,875","476,931","491,137","499,716","567,367","638,085","619,214","641,856","669,247","688,128","701,663","710,603","710,105","721,190","686,969","641,554","625,127","617,487","615,793","628,095","645,439","667,648","750,541","819,671","826,573","843,828","811,778","732,227","768,688","751,397","789,668","858,387","881,836","876,875","936,018","908,378","921,711","915,766","846,123","812,510","838,880","795,589","802,469","858,937","917,207","919,517","822,565","761,423","754,929","683,915","705,967","594,579","518,899","571,303","414,064","447,864","451,693","444,433","444,444","342,873"
서울특별시  (1100000000),"74,390","72,858","81,005","82,847","84,423","95,071","108,392","105,382","110,754","118,830","124,899","130,129","137,334","143,770","152,858","153,436","148,319","147,299","148,569","147,547","149,997","152,282","153,940","167,765","176,914","175,007","173,728","165,375","144,088","150,488","146,697","151,087","163,279","166,982","169,554","180,125","173,246","172,682","167,161","154,740","145,275","153,064","148,216","148,698","155,578","164,693","169,326","154,631","145,924","145,350","133,331","139,923","117,541","104,336","112,739","79,409","89,499","90,091","88,382","89,749","70,769"
부산광역시  (2600000000),"25,091","24,926","27,293","28,865","29,128","33,750","38,256","37,538","39,883","41,592","45,086","46,619","48,661","49,284","50,257","47,421","43,204","42,403","40,558","40,084","40,055","40,950","42,457","47,971","52,521","54,218","55,661","52,832","46,891","47,689","45,671","49,500","53,334","55,122","55,385","58,613","58,385","58,658","59,681","56,578","53,934","55,203","53,228","56,220","62,247","67,619","69,296","62,768","59,764","61,185","56,203","59,818","49,736","44,192","47,693","37,880","37,908","38,715","37,836","36,037","27,504"
대구광역시  (2700000000),"20,925","21,131","23,075","24,755","24,633","28,960","32,639","31,641","32,782","34,528","35,813","36,693","36,528","35,808","35,864","33,302","30,813","29,461","27,386","27,307","27,545","27,688","28,584","32,699","36,181","36,768","37,932","36,699","33,028","35,402","35,496","37,884","41,042","42,507","43,233","45,689","45,034","45,635","46,741","43,997","41,358","42,476","40,776","40,659","44,189","46,741","45,592","41,612","35,853","37,297","34,308","34,680","28,808","27,405","29,340","22,137","22,327","23,574","22,773","21,088","14,631"
인천광역시  (2800000000),"25,707","25,018","27,045","28,185","28,283","32,059","35,731","35,114","36,270","38,272","39,716","41,070","42,088","43,266","44,402","42,643","39,381","38,028","36,908","36,478","37,067","38,291","39,663","44,719","48,872","50,135","50,562","48,870","43,976","45,211","43,649","46,502","49,603","51,415","51,263","53,666","52,498","53,782","53,464","49,625","48,136","51,297","48,995","49,279","52,500","54,523","54,304","47,880","44,543","42,542","37,506","38,084","31,331","26,677","29,151","18,926","21,937","22,224","21,707","21,996","17,222"
광주광역시  (2900000000),"14,640","14,491","15,933","16,942","17,166","19,652","22,345","21,666","22,550","22,925","23,184","23,490","23,076","22,011","21,702","19,705","17,915","17,012","16,515","16,676","17,020","17,463","18,733","21,354","23,750","22,954","23,865","23,756","21,293","22,976","22,704","23,054","25,884","25,824","26,157","27,310","26,618","25,636","26,667","24,152","23,844","23,290","21,661","22,523","21,849","22,916","24,295","21,647","19,315","19,086","16,111","17,132","14,025","12,324","13,689","11,268","11,556","12,190","11,185","11,677","9,159"
대전광역시  (3000000000),"14,312","13,936","15,629","15,829","16,103","18,258","20,194","19,846","20,773","21,668","22,197","22,862","22,846","22,566","22,656","21,436","20,120","19,205","19,223","18,893","19,155","19,415","19,754","22,259","24,086","24,223","24,634","23,591","22,104","22,913","22,656","23,643","25,749","26,903","25,756","28,295","27,146","28,304","28,065","25,145","23,047","24,173","22,828","22,093","25,070","26,955","26,291","23,114","20,817","21,362","19,571","19,415","16,758","13,776","14,842","10,951","12,252","11,811","11,439","10,766","8,391"
울산광역시  (3100000000),"10,675","10,326","11,226","11,589","11,772","13,665","15,740","15,399","16,162","16,631","17,034","17,213","17,098","16,921","16,702","16,097","14,778","14,572","14,066","13,887","14,330","14,802","15,531","17,694","19,513","19,811","20,523","19,227","17,414","18,068","16,996","18,001","19,428","20,131","20,234","21,917","21,796","22,312","22,892","21,722","21,296","21,716","20,043","19,801","21,435","22,640","21,745","19,410","17,894","17,184","15,412","15,333","12,592","11,248","11,432","8,765","8,664","8,260","8,186","7,391","5,345"
세종특별자치시  (3600000000),"3,100","2,908","2,998","2,912","2,612","2,647","2,719","2,442","2,212","2,276","2,316","2,512","2,540","2,518","2,700","2,613","2,545","2,574","2,753","2,936","3,192","3,513","3,817","4,389","5,161","5,173","5,336","5,326","4,695","5,007","4,755","4,773","5,002","4,855","4,472","4,665","4,046","3,891","3,733","3,193","2,923","3,076","2,867","2,743","3,025","3,242","3,151","2,764","2,529","2,529","2,346","2,488","2,084","1,701","1,881","1,383","1,617","1,538","1,411","1,340","1,074"
경기도  (4100000000),"123,338","118,770","128,982","131,315","132,361","148,097","165,439","159,085","163,170","169,835","171,051","173,617","176,309","176,434","179,775","172,499","159,772","155,923","154,399","153,098","156,151","163,041","168,533","191,607","210,726","216,982","221,916","214,944","194,358","206,195","202,518","211,924","228,960","233,460","233,905","247,082","237,650","240,759","234,293","214,325","205,505","212,225","201,157","197,764","208,085","218,088","214,861","189,308","175,342","166,737","149,356","151,479","126,138","108,426","119,698","78,033","88,517","88,463","88,340","90,695","72,091"
강원도  (4200000000),"12,614","13,026","14,028","14,318","15,052","17,087","19,206","18,696","19,423","20,265","20,499","20,646","20,772","20,782","20,772","18,488","16,409","15,557","15,139","14,793","15,143","15,446","15,697","18,147","19,858","19,868","20,535","20,143","19,381","20,006","19,924","21,413","23,993","24,914","23,875","25,881","25,455","26,683","26,966","24,567","24,952","24,005","23,978","25,100","27,430","30,466","30,326","27,963","26,846","26,852","23,828","24,389","21,338","17,863","21,741","12,254","13,422","13,967","14,976","15,389","13,061"
충청북도  (4300000000),"13,799","13,643","14,827","15,086","15,731","18,036","19,858","19,571","20,345","21,282","21,647","21,693","21,606","21,474","20,946","19,332","18,080","17,375","17,506","17,433","18,004","18,218","19,145","21,066","23,498","22,624","23,473","22,831","20,796","22,005","21,858","23,110","25,351","26,138","24,171","26,825","26,232","28,986","28,185","26,422","25,595","26,222","23,362","23,486","27,453","31,018","27,844","26,248","25,021","25,096","22,700","22,212","19,409","17,003","19,467","12,567","13,287","13,664","13,838","13,676","10,644"
