date,order,unit,qty
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023250000,bid,18625000,0.03408247
1514023250000,ask,18610000,0.0013
1514023248000,ask,18610000,0.4
1514023247000,bid,18610000,0.18274342
1514023244000,ask,18600000,0.043
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023250000,bid,18625000,0.03408247
1514023250000,ask,18610000,0.0013
1514023248000,ask,18610000,0.4
1514023247000,bid,18610000,0.18274342
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023250000,bid,18625000,0.03408247
1514023250000,ask,18610000,0.0013
1514023248000,ask,18610000,0.4
1514023247000,bid,18610000,0.18274342
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023250000,bid,18625000,0.03408247
1514023250000,ask,18610000,0.0013
1514023248000,ask,18610000,0.4
1514023247000,bid,18610000,0.18274342
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023250000,bid,18625000,0.03408247
1514023250000,ask,18610000,0.0013
1514023248000,ask,18610000,0.4
1514023247000,bid,18610000,0.18274342
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023252000,bid,18625000,0.01671753
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023252000,bid,18625000,0.3
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023253000,bid,18627000,0.085
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023253000,bid,18629000,0.0214
1514023253000,bid,18629000,0.4093
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023253000,bid,18629000,0.01
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023253000,bid,18636000,0.03
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023254000,ask,18636000,0.1647
1514023254000,bid,18640000,0.08782339
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023259000,ask,18630000,0.001
1514023255000,bid,18640000,0.00018144
1514023267000,bid,18640000,0.1397
1514023267000,bid,18640000,0.04354871
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023259000,bid,18640000,0.00016416
1514023259000,bid,18640000,0.0284
1514023268000,bid,18640000,0.0919
1514023268000,bid,18640000,0.0005
1514023267000,bid,18640000,0.1397
1514023267000,bid,18640000,0.04354871
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023259000,ask,18630000,0.2721
1514023269000,ask,18637000,0.3168
1514023268000,bid,18640000,0.0919
1514023268000,bid,18640000,0.0005
1514023267000,bid,18640000,0.1397
1514023267000,bid,18640000,0.04354871
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023260000,bid,18640000,0.002
1514023270000,ask,18639000,0.2316
1514023269000,ask,18637000,0.3168
1514023268000,bid,18640000,0.0919
1514023268000,bid,18640000,0.0005
1514023267000,bid,18640000,0.1397
1514023267000,bid,18640000,0.04354871
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023264000,ask,18637000,0.1529
1514023263000,bid,18640000,0.03
1514023263000,ask,18637000,0.0269
1514023262000,bid,18640000,0.0116
1514023261000,bid,18640000,0.00050714
1514023271000,ask,18637000,0.0577
1514023271000,bid,18650000,0.00965351
1514023271000,bid,18650000,0.0045
1514023271000,bid,18648000,0.003
1514023271000,bid,18640000,0.22937516
1514023270000,ask,18639000,0.2316
1514023269000,ask,18637000,0.3168
1514023268000,bid,18640000,0.0919
1514023268000,bid,18640000,0.0005
1514023267000,bid,18640000,0.1397
1514023267000,bid,18640000,0.04354871
1514023266000,bid,18640000,0.04917613
1514023266000,bid,18640000,0.16082387
1514023265000,ask,18637000,0.6
1514023271000,ask,18637000,0.0577
1514023271000,bid,18650000,0.00965351
